f,sf,V_f,sV_f,V_R,sV_R,t1,t2,st1,st2
610,10,2.96,0.2,0.4,0.02,8E-06,0.00043,1E-07,6E-05
960,10,2.96,0.2,0.55,0.02,0.000508,2.7E-05,4E-06,4E-05
1520,50,2.98,0.2,0.8,0.02,0.000312,0.000164,4E-06,3E-05
2400,50,3,0.2,1.26,0.02,0.000404,0.00033,4E-06,1E-05
3830,50,3,0.4,2.1,0.02,0.000514,0.000482,2E-06,3E-06
6070,50,3,0.4,2.82,0.03,7.7E-05,7.7E-05,2E-06,2E-06
9620,50,3,0.4,2,0.03,4.8E-05,6.1E-05,1E-06,3E-06
24100,100,3,0.4,0.86,0.02,4.04E-05,4.8E-05,2E-07,3E-06
38300,100,3,0.4,0.59,0.02,5.11E-05,5.6E-05,2E-07,2E-06
60700,100,3,0.4,0.39,0.02,5.73E-05,6.07E-05,1E-07,1E-06
