xH,H,dH
-0.11,0.0014800000000000002,0.00030000000000000003
-0.1,0.00185,0.00030000000000000003
-0.09,0.0023899999999999998,0.00030000000000000003
-0.08,0.0029600000000000004,0.00030000000000000003
-0.07,0.00373,0.00030000000000000003
-0.06,0.0047,0.00030000000000000003
-0.05,0.005620000000000001,0.00030000000000000003
-0.04,0.006090000000000001,0.00030000000000000003
-0.03,0.006520000000000001,0.00030000000000000003
-0.02,0.00671,0.00030000000000000003
-0.01,0.006740000000000001,0.00030000000000000003
0.0,0.00671,0.00030000000000000003
0.01,0.006770000000000001,0.00030000000000000003
0.02,0.0067,0.00030000000000000003
0.03,0.006440000000000001,0.00030000000000000003
0.04,0.00589,0.00030000000000000003
0.05,0.00508,0.00030000000000000003
0.06,0.00427,0.00030000000000000003
0.07,0.0033799999999999998,0.00030000000000000003
0.08,0.00265,0.00030000000000000003
0.09,0.0021000000000000003,0.00030000000000000003
